,sender,text
361477,MD-FSTCRY,100% Cashback on Entire Fashion Range for 11 Mins @ 11 PM on FirstCry tonight Coupon: FSH100JUN. Max Cashback 700. GST Extra on disc. T&C Apply @ bit.ly/2J7Gwcm
142634,HP-ABCINV,SIP installment of Rs 2000 in ABSL Frontline Equity Fund -Grow-DIRECT for folio no. 1036554697 is due on 07-MAY-18. from your ICICI BANK LIMITED account. Regards  ABSLAMC
454680,AD-MAHABK,Your a/c xxxx0115 has been credited by Rs. 3.75 on 13-MAR-2018 by REFUND 806509079495 R01 RIP.090318.611478 06032018. A/c Bal is Rs. 170.75 CR and AVL Bal is Rs. 170.75
590942,HP-KIMBHO,Thanks for downloading beta version of Kimbho. We have stopped the services given high traffic. Stay tuned for official launch. Please be with us.
352597,AX-CUBANK,"Savings No XXXXXXXX09 credited with INR 1000.00 towards BY ONL ANJPMTPG:: CA 510909010057248:00390 on 29-MAR-2018.Avl Bal 16189.23
AT-650012,FREE 5GB valid for 10 Days!Download My Airtel App and click on banner in APP to claim welcome gift of 5GB 3G/4G FREE INTERNET. Click www.airtel.in/5/5gbf"
591369,VM-SSRIDE,"Shailesh(CAPGEMINI) has joined sRide and offers ride from Capgemini Knowledge Par.. to Mulund Check Naka, Thane at May 28, 07:30 PM. Matches at sride.co/r/aDdINGVLNmNLUA/"
559201,VM-SHRIRM,"Dear customer your EMI of Rs.6786.00/- for STFC loan No. NELB1O703080003 is due on 10.06.2018. Pls. maintain sufficient balance in your bank a/c before due date.
JD-509093,Thanks.If selected KBC Team will contact you in 5days.T&Cs-www.sonyliv.com.Only 1st valid entry from a mobile number will be considered per question"
784250,VM-CorpBk,Final call! Shop at Big Bazaar and avail 10% additional discount on Corporation Bank RuPay Card. Offer Valid till 30th April. T&C Apply.
610447,IZ-IDEA,"Call_CHRG:0.000 INR,Call_Durn:49 secs,Bal_Left=0.01 INRSIRF Rs34 mai paye LOCAL + STD calls @ 30p/min for 28 days. Dial *369*34# to activate"
455609,MD-PUTSAV,lified for scheme. Happy Selling!
406496,VK-HDFCBK,"OTP is 751447 for txn of INR 30.00 at PayZapp Bill Pay Main on card ending 7426. Valid till 13:58:15. Do not share OTP for security reasons.
VA-611112,Dear customer, now avail Unlimited Local + STD calls at only Rs.168 with Vodafone postpaid. To know more please call 18001234567 . T&C Apply
DZ-066400,End of Season Sale Offers ! Enjoy 5% Cashback at Trends, Pantaloons & MAX with your SBI Credit Card. Visit http://bit.ly/SBEOSS for details. T&C Apply."
196834,VM-AxisBk,"Hello, you have just logged in to Internet banking from a new device or browser. Pls call 18604195555 immediately if you have not."
272806,AX-AxisBk,"Hello, you have added sijusasidharan@dbs as a contact on Axis Pay UPI APP. Please call customer service in case you have not added this contact."
758111,VM-VFCARE,"Hello, your daily data pack has been renewed.Watch movies, live TV or international shows on Vodafone Play http://bit.ly/2lR3DXQ
50360010,Your code is 7591. Return to the RailWire Wi-Fi website and enter the code to get online.
VZ-611123,Ever wondered what will you be in the future? Now Vodafone brings you Future Jobs Finder, India's largest Future Jobs program. Visit https://goo.gl/3g7yGN"
481192,BWHDFCBK,"Your a/c no. XXXXXXXXXX0995 is debited for INR 1,500.00 on 28-05-18 and a/c xxxxxx0977 credited (IMPS Ref no 814722761145)."
408566,AX-AxisBk,Hello! Your A/c no. 474320 has been debited by Rs. 1000 on 07Jun18. The A/c balance is Rs. 53226.01.Info: NEFT/MB/AXMB181585026595/farzana begum. Call 18605005555 (if in India) if you have not done this transaction.
347056,TM-MOBIKW,"DO NOT SHARE OTP WITH ANYONE. Your Bajaj Finserv Mobikwik One Time Password (OTP) is 440559.
TD-612830,RC119=39.2 GB (1.4 GB/day)+UL Calls+Roaming FREE, 28D, 19=25TT+20p/min+250MB 3G, 28D, RC31= 1GB 3G Data,28D. Dial *123#
A$-TFAROT,CallCost:Rs.0.83 Duration:00:00:46 Bal:Rs.11.68147=UL Call+1GB/D,28D399=UL Call+1GB/D,84D
AG-650003,Jald Recharge Karein Airtel par!Rs399=UNLIMITED Local, STD aur Roaming call saath hi 1GB/din data+100 SMS/din, 84 din ke liye.Niji upyog hetu, dial *121*1#"
365537,TM-PHONPE,You've received Rs.51 from 9525524999@paytm via PhonePe into your Bank Of India a/c.
281142,JG-JioPay,"You have exhausted 100% of your high speed internet quota from Data account of MRP 449 on your Jio Number 8770290312 as of 08-Jun-18 00:26 Hrs. Internet speed will be reduced in case you do not have any active data plan. Click http://tiny.jio.com/DataBooster to recharge with data booster and continue enjoying high speed internet. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
JD-509093,Thanks.If selected KBC Team will contact you in 5days.T&Cs-www.sonyliv.com.Only 1st valid entry from a mobile number will be considered per question"
731145,AD-QKLOAN,Get instant money upto 1 lakh in 30 min* @ just 1.5% rate. Download CASHe app & apply today to get 50% discount on proc fee. Use code PB50 http://nsm.sg/Jh2dYq
586968,IZ-IDEA,"LST USG:120.175MB,Pack:2 GB Pack,BAL Left:0 MB,Valid till 2018-6-22, Data Unbilled:Rs 0.00Call 121215(FREE),DIALER TONES"
517857,VMBIGBZR,"Extended just for today!Big Bazaar Free Shopping Weekend on Paytm,shop for Rs.2000 & Get Goodie Bag  worth Rs.2000 free.Shop now at https://bit.ly/2ujYhOp"
607374,JX-JIONET,"We have received recharge request for your Jio connection. Transaction ID : BR000193VM07Please keep this transaction ID for future reference. Once the recharge is successful, you will receive a confirmation message. To check recharge status, click https://www.jio.com/recharge_history or dial 1991 from your Jio number."
207204,VD-VFCARE,"Hello, your daily 4G Data Quota of 1GB is now added to your account for Vodafone number 919910420174 and can be used till 09.06.2018 00:00:00.Happy Surfing!"
148879,JA-JioPay,"You have used 90% of your daily 2 GB high speed internet quota on your Jio Number 8630821811 as of 08-Jun-18 00:12 Hrs. After consumption of 2 GB data, internet speed will be reduced in case you do not have any active data plan. Click http://tiny.jio.com/DataBooster to recharge with data booster and continue enjoying high speed internet. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
631332,ID-IDEA,"CHRG:,main_cost Rs 0.000,Free Vol MB:17.76,VOL:17.76 MB,BAL_LEFT:,main Rs 0.030,Free Vol MB:1023.24,Exp:2018-08-27Rs.25=280 L+N SMS 28days.Dial *150*25#"
28146,IM-SNAPDL,"Order Cancelled:  We have cancelled your order for Black Field Slip On Artificial Leather Black Formal Shoes as delivery could not be completed. We look forward to another opportunity to serve you.Manage your order on the Snapdeal App at www.snpdl.in/jd34rpba
51460,Sonjoy, you have 39 new notifications on Facebook: https://fb.com/l/2do1QrT8ZxVcx6K"
362141,JG-JioPay,"???? ???? ???? ???? 7355373387 ?? ????? ??? ????? ??????? ???? 1.5 GB ?? 50% ????? 07-Mar-18 21:28 Hrs ?? ?? ???? ??| ???? ?????? ?? ??????? ????? ?? ??? 1299 ?? ????? ??? ????| ???? ???? ?????? ?? ????? ???? ????, ?? ???? ??? ???? ????? ?? ??? ????? ???? http://tiny.jio.com/MyJioVideo"
24726,JG-JioPay,"?? ???? ????? 9182653350  ?? 1.5 GB ?? ?????? ?????????  ???? ????? 08-Jun-18 00:00 Hrs ?????? 50% ???????????. ?? ????????? ????? ???????????? ??????? ?????? ????????? 1299 ??? ?????? ??  ???? ???????. ?? ???? ?????? ?? ??? ?????? ??????, ????? ???????????????, ? http://tiny.jio.com/MyJioVideo ????? ?? ?????? ??????. ?? ???????? ??????????, ??????????, ?????? ??????? ????? ??????????? ???????? ????????? ???? 1991 ???? ??????"
237854,JZ-JIONET,"We have received recharge request for your Jio connection. Transaction ID : RV00000ITMDGPlease keep this transaction ID for future reference. Once the recharge is successful, you will receive a confirmation message. To check recharge status, click https://www.jio.com/recharge_history or dial 1991 from your Jio number."
292203,VM-DOMINO,"Your Domino's password is 5692
656060,Are you an angel or a devil? find out what percentage of you is kindhearted. sms AOD (ur name) to 56060.Eg.AOD PREETHI.Rs.3"
722831,BZ-ATMSBI,"Thank you for using your SBI Debit Card 607XX9893 for a purchase worth Rs300.0 on POS  0021892300000000000 at PAYTM txn# 812616119866.If not done by you, forward this SMS from mobile number registered with SBI to 9223008333 to block your card. You may also call 1-800-111109"
254379,VK-HDFCBK,Your mobile number and device is successfully captured for UPI registration.
89914,DM-BILLDK,Thank you. Payment of Rs. 2100.00 will be credited to Citibank Card XXXXX 6516 in 2 working days subject to realization from your bank. Ref No is ISBI5362304238. Did you know: You can now use NEFT to pay Citibank Credit Card bill and get same day credit of funds. Use IFSC code CITI0000003. T&Cs Apply.
490308,VGVFCARE,Data Alert! You have used 50% of your 3G/4G internet pack and have 706.92 MB left. Check your usage on MyVodafone App (www.vodafone.in/j1) or dial *111*2*2#.
779526,AXAmazon,"Arriving Today:Taslar Quick Charge 3.0 30W USB Wall Charger, 3 Ports Travel Phone Charger Plug Fast AC Power Adapter 3.0 For Smart Phone Sa~ & 1 other item will be delivered by AmzAgent(+911161264444 PIN 6460). Pay Rs.1,748 by Cash or Debit/Credit Card. Track: http://amzn.in/4j887PO"
572503,TX-NAALAI,Thank you for registering. We welcome you. Your membership no is TNK2971E11. Let us work together.
245486,TD-BOBTXN,"Rs.1023.6 is Debited to A/c ...3400 on 31-03-18 18:46:54 (Clear Bal Rs.12403.7) AT ATM TID-00S1ACJM04,ref-809018025264"
591889,AX-ARWINF,"Best Recharges for your number is just a Missed Call away. Dial 505 (toll free) now to know the recharges available for your Airtel Mobile.
AX-600268,You just heard tune Jeeva Jeeva.To set it as hellotune call 5432159 (TollFree).For more HelloTunes dial,*646*9# (TF)"
377861,IM-RBLBNK,A charge of Rs. 404.00 has been initiated on your RBL Credit Card ending with 5576 at RASNA HOTELS PVT LTD on 07/06/18 at 10:58 PM IST. Your available limit is Rs. 193596.00.
691776,BZ-MPSEBW,"Dear consumer,Meter reading of your electricity bill A/C 1238169025 on 15/05/18 for Bill Month MAY-2018, Reading : 884 and Consumption is 78. Please check reading . In case of complaint contact 1912MPPKVVCL lndore"
669310,DM-URCLAP,"Hi, Sunetra B needs Dieticians / Nutritionists in Nayabad Kolkata . Reply at - http://ubcp.in/CbjpyTo opt out, give a missed call at 08039591551 -Team UrbanClap"
429083,TM-SBIOTP,032653 is your One Time Password for online purchase of Rs 50.00 at MOBIKWK thru State Bank Debit Card ending 9554. Don't share this with anyone
272757,AX-AxisBk,Your A/c 261078 is debited with INR 223.00 on 04-05-2018 23:16:58 A/c Bal is INR 11332.56 Info: PUR/MILLENIUM BAR AND REST/BANGALORE/MILLENIUM BAR AND REST/Seq No 023980. Call 18605005555 (if in India) if you have not done this transaction.
290668,AX-BOBSMS,"Your VPA 9879414518@ybl linked to your a/c no.  XXXXXX8261 is debited for Rs. 21.0 and credited to VPA FKRT@ybl UPI Ref no. 815900257963.
509093,Thanks.If selected KBC Team will contact you in 5days.T&Cs-www.sonyliv.com.Only 1st valid entry from a mobile number will be considered per question"
245113,VM-IOBCHN,"Dear Customer, Double the benefit! Enjoy additional 10% discount along with Free Shopping at Big Bazaar by using IOB RuPay Card, on 23-25 March 2018 T&C apply.
JK-602121,You won't believe how Aishwarya Rai became a superstar. Download & Find out on JioMags http://jio.com/r/4UzWKxwc"
388219,TX-SNAPDL,Your coupon expires today. Use code SPECIAL500 and get Rs. 50 off on next 10 orders on Snapdeal. Min order value - Rs. 499. Shop Now. http://m.snapdeal.com
220005,JK-JioPay,"You have used 50% of your 1.5 GB daily high speed data quota on your Jio Number 8208511347 as of 09-May-18 23:48 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
674634,AD-ADHAAR,OTP for Aadhaar (XXXX3600) is 669515 and is valid for 30 minutes.(Generated at 2018-03-07 11:25:47)
573422,AM-GoIBIB,"Dear Vijay, now you can access your trip related information for the booking id- HTLNKKV39C for Hotel MJ Grand Inn, by clicking here https://go.ibi.bo/W1ad/NEOCImwlMJ Please carry a valid Govt issued photo id (Except Pan card and same city photo id where the hotel is booked) for a hassle free check in. Have a pleasant stay ahead!"
82687,HP-KOTKBN,Open Zero Balance A/c with Kotak 811 & get Assured Cashbacks. Click here: https://goo.gl/LirQwS to avail this offer. *T&C apply
229926,IA-IDEA,"CHRG:,main_cost Rs 0.000,VOL:0.00 KB,BAL_LEFT:,main Rs 0.000
A$-TFAROT,CallCost:Rs.0.00 Duration:00:01:55 Bal:Rs.0.00Greet your caller with your favourite Hello tune,call 578785(tollfree)"
653954,VMADHAAR,OTP for Aadhaar (XXXX2978) is 321659 and is valid for 30 minutes.(Generated at 2018-04-04 2:33:3)
333444,AD-PHONPE,You've sent Rs.1 to Bank Account - XXXXXXXX6710 via PhonePe from your bank a/c.
3373,DM-AxisBk,AXISBank Account 30863274 Date 17-01-2017 Effective  Balance: 19981.11
240464,IZ-IDEA,"Call_CHRG:0.000 INR,Call_Durn:58 secs,Bal_Left=0.00 INRSIRF Rs34 mai paye LOCAL + STD calls @ 30p/min for 28 days. Dial *369*34# to activate"
581160,VM-HDFCBK,OTP is 326759 for txn of INR 351.92 at www.bookmyshow.com on card ending 3517. Valid till 01:17:59. Do not share OTP for security reasons.
362482,UW-Notify,"Your 4194304 4G Data going to expire tomorrow on 29/10/2017.
50141,? ???? ??????? ?? ???????????? ???? ??????
50141,????? ??????, ???? ??? ??? ???? ?? ??? ??.6 ??????? ?? ?????? ??????? ?? ??? ????? ?? ??? ????? *141*1# (??? ????) ???? ????? ??.7.2 ?"
518909,JZ-JioPay,"?? ???? ????? 8328637577  ?? 1.5 GB ?? ?????? ?????????  ???? ????? 10-Apr-18 13:46 Hrs ?????? 90% ???????????. ?? ?????? 1.5 GB ???? ?? ?????????, ????? ???????? ?????? ????????? ????????? ?????? ???????????????. ?? ?????? ?? ??????? ??????????????? ??????? ???????? ??????. ???????? ????????? http://tiny.jio.com/DataBooster ????? ?? ?????? ??????. ?? ???????? ??????????, ??????????, ?????? ??????? ????? ??????????? ???????? ????????? ???? 1991 ???? ??????"
38523,TX-FPANDA,"Hi, Has the FP order x7ep-y1tl to Armaan Dhillon been dispatched? If yes, please click ""Out for Delivery"" on your restaurant app. Ignore if already done."
278257,TM-FLPKRT,"Shipped: Your ReniSales NEW RICH & S... with order ID OD211721612862870000 has been shipped and will be delivered  by Tuesday, Mar 13, 2018. You will receive another SMS when Ekart Logistics's Wishmaster is out to deliver it. Track your shipment here http://fkrt.it/bq~BG2NNNN
IK-612345,Idea:Today's Offer1)Rs26=Rs26 Talktime or Rs41=Rs41 TT+All Mobile@25p-28days2)Rs32=All Mobile@25p-28Days3)Rs49=Rs49 TT-28days+Mobile Calls@25p-28DaysDial *121#
TD-610319,RC148=UL Calls(250min/day)+ 2GB,100 SMS/day 28D. RC179=UL Calls (250min/day)+1.4GB/day,100 SMS/day28D. RC349=UL Calls (250min/day)+1.4GB/day,100 SMS/day56D"
292482,AM-ZEBPAY,"Dear Zebpay customer, your deposit request order #D1073176 for 10,000.00 INR is cancelled"
226157,DM-SBNMDJ,"Diplalji Chunilalji Timruva keSasuralPax ka Besana3/7 se 7/7 tak8PM se 10PMRishabhkumar Mithalalji Kunavat52,MayurPark SocBapunagarKe yaha Rakha gaya he."
307902,MD-INDBUL,"Your Loan is Approved In 3 mins>Loan upto 15 Lacs>Download Now>Enter Aadhar Card>Check Loan Amount>Amount In ur Accthttp://bit.ly/2wXhDdv : Check Now
573731,Raid ,Baaghi 2 and 3 Storeys jaise filmo ke gaano ko banaye apni CallerTune. Dial 573731 TF. For Callertune app click  http://hyperurl.co/UTRV2"
453077,ID-IDEA,"You have 500 MB Data left on DATA Pack.
JD-509093,Thanks.If selected KBC Team will contact you in 5days.T&Cs-www.sonyliv.com.Only 1st valid entry from a mobile number will be considered per question"
275005,VD-VFCARE,Congratulations! FREE 20MB 3G Internet  aapko Vodafone ke taraf se 1 Din validity ke saath diya gaya hai. Aise aur AAKARSHAK OFFERS ke liye dial kariye *121#
497208,IM-SBICRD,447359 is the OTP for trxn of INR 1352.00 at AIRTELMONEY with your SBI Card ending 7530. OTP is valid for 10 mins only. Pls do not share with anyone.
569288,VM-WBCTAX,"Your OTP has been resend to your mobile number :7051
12121,All Local & STD Mobile Call 20p/min for 27 days.Dial 1288 (toll free) anytime to know our latest products. Only Easy Recharge Available."
707911,DM-REDIFF,Listing Summary {Products-Published:0 Rejected:1 Submitted:0}
304027,TMPHONPE,92667 is your PhonePe password reset code. This code expires in 60 minutes. DO NOT SHARE WITH ANYONE. PHONEPE OR BANKS NEVER CALL TO VERIFY RESET CODE.
660780,AX-SBICRD,"Dear Applicant, we regret to inform you that your CIBIL score does not meet our criterion. Hence, we are unable to issue a credit card to you at this time."
246521,BZ-SBRWDZ,E-statement Alert: You have 100 Reward Pts as on 31Mar'17 in your StateBankRewardz a/c. Download the App goo.gl/x35EKU and Sign Up to earn 100 Bonus Pts!
166021,AX-PNBSMS,"Ac XXXXXXXX00018620 Debited with Rs.8000.00,21-05-2018 20:44:09 thru ATM.Free txn on oth bank ATM-5(incl max 3 in Metro) in SB A/C only. Aval Bal Rs.6759.60 CR. Helpline 18001802222"
441334,JZ-JioPay,"You have consumed 50% of your 400 MB Data from ADD-ON - MRP 11 on your Jio Number 9337879740 as of 06-Jun-18 19:39 Hrs. Your available data balance is 123.85 MB valid till 04-Jul-18 21:13 Hrs. To manage your account with MyJio app, click http://tiny.jio.com/MyJioApp . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
045678,Amazon: Missing out on our best deals? Never miss a deal with the Amazon App. Enjoy faster checkouts, app only deals, and more. Download http://amzn.in/0CDGXw8"
674423,AD-MANIPL,"Manipal Hospital Whitefield introduces OPDs from 8 AM to 8 PM in Key specialties. Now, meet our doctors at your own convenience. Appointment call 080-2502 7000."
791275,JK-JioPay,"???? ???? ???? ???? 7007624658 ?? ?????? ????? ??? ????? ??????? ???? 1.5 GB ?? 50% ????? 08-Jun-18 00:21 Hrs ?? ?? ???? ??| ???? ?????? ?? ?????? ?? ????? ???? ?? ??? 1299 ?? ????? ??? ????| ???? ???? ?????? ?? ???? ????? ???? ?? ???? ??? ???? ????? ?? ??? ????? ???? http://tiny.jio.com/MyJioVideo | ??????? ??????, ?????, ????? ????? ?? ?????? ??????? ????? ?? ???? ??? ????? ?? ??? ???? ???? 1991"
285173,JX-JioPay,You have exhausted 100% of your high speed internet quota from Data account of MRP 399 on your Jio Number 8340681432 as of 08-Jun-18 00:27 Hrs. Internet speed will be reduced in case you do not have anwith data booster and continue enjoying high speed internet. Dial 1xciting recharge plans.
670627,JX-JioSvc,"Welcome to Jio-West Bengal. Enjoy Free Incoming and Outgoing calls anywhere in India while roaming nationally. Kindly enable Data Roaming to use data services. 4G Data & SMS benefits will be as per your plan.
JK-602121,Get 1.5GB/day High Speed Data and unlimited voice.n++Recharge your Jio number 8617726814 with Rs149 plan valid for 28 days. Click http://jio.com/r/2j7FQSql to recharge or visit nearest retailer. T&C apply. For other plans, call 1991
IV-612345,Idea Todays Offer:1)Rs89=3GB 4G/2G-28Days2)Rs47=1GB 4G/2G-28days3)Rs25=400MB 4G/2G-28days4)Rs199=UNLIMITED calls+1.4GB/day+100SMS/day-28daysDial *121#"
798234,ID-IDEA,"Call_CHRG:Rs0.000,DUR:61 sec,Daily Min_Left: 248,Weekly Min_Left:990,Weekly Capping will renew on Exp:2018-06-10"
360834,JZ-JIONET,Please use the Access Code 295960 to complete the change password activity.
741221,VD-VDFONE,"Hello, we notice that you have not taken an international roaming pack. Without a pack, the standard roaming rates applicable to you in Saudi Arabia are Call to Saudi Arabia: Rs. 70/min, to India/any other country: Rs. 140/min, Incoming: Rs. 70/min, SMS: Outgoing: Rs 15/sms, Incoming: Free, Data: Rs. 5.5/10 KB. Visit http://bit.ly/2eRya5e for more details. Vodafone now safeguards you in case your roaming bill exceeds Rs.5000 in a day in Saudi Arabia. After Rs.5000 in a day, for the rest of that day your Incoming calls will be FREE, Outgoing at Re.1/min, SMS at Re1/SMS & Data charges at Re.1/MB. As a caution, we recommend you turn off your Data Roaming to avoid any unintended usage."
365490,AB-AIRBNK,Your Airtel Payments Bank verification OTP is 760659.
219794,JZ-JIONET,Your request to avail free JioPrime membership for a year has been registered successfully. You can now enjoy JioPrime benefits for another year. Thank You!
493968,JZ-JIOPAY,"You have used 100% of your high speed internet quota from Data account of MRP 149 on your Jio Number 7990910176 as of 17-Feb-18 23:08 Hrs. Internet speed will be reduced in case you do not have any active data plan.To continue enjoying 4G speed, recharge now. Click http://tiny.jio.com/BuyAddOn"
625695,BW-WBELEC,"Dear Consumer (ID:200310221),Thank you for making payment of Rs. 173.34  vide Transaction ID: 5323090676 dated 07/06/2018. Regards."
438477,ERecharge,You received a Commission of Rs.14.00 into your W1. Net payout after deduction is Rs.13.30. 423816444
316792,ID-LOANPL,An awesome Personal Loan offer for you!- Rate starts from 10.99%- Paperless approval- Balance transferApply now. TnC apply bnkbzr.co/QWr6KCll
623868,AX-CASHBK,"Lifetime FREE Credit Card without income proof, basis your car policy. 10% cashback on spends(max 3000), FREE Movie voucher & more. Apply  http://nsm.sg/6pw1W9"
402409,BW-PAYZAP,"Enjoy 'Jurassic World' this weekend & get upto Rs.250 CashBack!To avail,book tickets via PayZapp on BookMyShow. Use Code: BINGOClick: bit.ly/PZAPDWD *T&C
509093,Thanks.If selected KBC Team will contact you in 5days.T&Cs-www.sonyliv.com.Only 1st valid entry from a mobile number will be considered per question"
373858,ID-BOBSMS,Your VPA debasishroy527@okicici linked to your a/c no.  XXXXXX0098 is debited for Rs. 165.0 and credited to VPA grahul882.rg@oksbi UPI Ref no. 815820953034.
337870,AD-BAJAJF,"Greetings! EMI of Rs.1,999 for loan a/c no.4F1DPF61323538 is due on 02/03/18. Keep SBI a/c ending with 4319 funded 3 days in advance to avoid bounce charges. Link your AADHAAR number with your loan account. Click here http://bit.ly/2ElHzlz to update now.Regards,Bajaj Finserv"
578462,JD-JIOINF,Your plan for Jio no. 7982228136 has expired. Data services have been STOPPED & outgoing calls restricted. Recharge IMMEDIATELY to start services. Click http://jio.com/r/Q4293nIw or visit a Jio retailer NOW.
610194,BW-AxisBk,Hello! Your A/c no. 016519 has been debited by Rs. 100 on 07Jun18. The A/c balance is Rs. 39647.43.Info: UPI/P2A/815904874116/. Call 18605005555 (if in India) if you have not done this transaction.
75565,IM-YESBNK,SUCCESS
122630,ID-IDEA,"CHRG:,main_cost Rs 0.000,Free SMS:0,BAL_LEFT:,main Rs 0.510,Free SMS:0,Exp:. SMS ""START"" to 1925 aur Hamesha Internet Ke Bharpur Duniya Se Jure Rahe.
JD-509093,Thanks.If selected KBC Team will contact you in 5days.T&Cs-www.sonyliv.com.Only 1st valid entry from a mobile number will be considered per question
JD-509093,Thanks.If selected KBC Team will contact you in 5days.T&Cs-www.sonyliv.com.Only 1st valid entry from a mobile number will be considered per question"
139033,IA-IDEA,"RC449-114GB + Unlimited Loc/STD/Roaming Calls + 100SMS/D-82 Days. Hurry! Recharge Today!CHRG:,main_cost Rs 0.000,VOL:0.00 KB,BAL_LEFT:,main Rs 0.142"
243607,JK-JIOINF,"?????  ???  ????? 7980475041 ??  ???????  ???  ???  ?????? ???. ???????  ????  ???  ????  ???????  ??  ????? . ?????  ???? http://jio.com/r/bl8XnjReD ??  ???  ????  ?????  ??????  ???????  ??  ???? .
TD-612830,WELCOME OFFER!! RC19=25 TT+25p/Min Mobile calls +250MB 3G 28D, RC16 =26TT + 5 SMS(28D), RC54=54TT +1GB 3G Data 28D, RC39 = 1GB 3G Data 28D. For more Dial *123#"
137461,JZ-JioPay,"Your plan MRP 399 is now active on Jio Number 8328680358. Entitlements: Benefits: Free Voice, Unlimited Data (1.5GB High Speed Data per day, thereafter unlimited at 64Kbps), 100SMS/day and Complimentary Subscription to Jio Apps. Validity: 84days.Validity: 30-Aug-18 21:13 HrsYou can view your current and upcoming plans on your smartphone with MyJio app, click www.jio.com/GetMyJio . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
655028,AX-IPAYTM,"674714  is your OTP for updating Payment Limits. OTP is confidential, please do not share this with anyone."
304812,VK-RCMBUS,"Dear Customer, We heartily welcome you in RCM Family. Please log on to our website www.rcmshopping.com. Happy Shopping."
192824,VMUBICCR,Do not share this OTP with anyone. OTP attempted at PAYTM for 399.00 is 309692 for your Union Bank Debit Card ending 6443 valid for 30 mins.
80108,JD-JioPay,"???? ???? ???? ???? 9079649253 ?? ?????? ????? ??? ????? ???? ???? 2 GB ?? 90% ????? 08-Jun-18 00:06 Hrs ?? ?? ???? ??| 2 GB ?? ????? ?? ???? ?? ?? ??? ?????? ??????? ????? ? ???? ?? ???? ????? ??? ?? ?? ?????| ???? ?????? ?? ??????? ???? ?? ??? ????? ???? http://tiny.jio.com/DataBooster ?? ??? ????? ??????? ?? ???? ???? ???? ????| ???? ??????? ??????, ?????, ????? ?? ????? ?? ?? ??? ?? ??????? ?? ??? ???? ???? 1991"
797936,JA-JioPay,"You have used 50% of your 1.5 GB daily high speed internet quota on your Jio Number 8178055437 as of 07-Jun-18 14:20 Hrs. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo?. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
625970,VK-TRUBAL,[351129] is your OTP from True Balance.
272427,ID-ADHAAR,OTP for Aadhaar (XXXX3244) is 915192 and is valid for 30 minutes.(Generated at 2018-05-15 00:37:20)
349575,TM-CASHFY,"Dear Customer, Please use 722562 to proceed with your transaction."
286758,JK-REGINF,"As IMD informs cyclone OCKHI is 230km West- SouthWest of Mumbai, likely to continue to move North- NorthEastward, weaken gradually and will cross South Gujrat and North Maharashtra coast. No impact on Mumbai City and Suburb. All Roads & Rails traffic are running smoothly, please don't create panic.DMU, MCGM"
179283,IG-SMSCou,AB AROGYADAAN HEALTH POLICY EXPIRES ON 8-6-18 THERE IS LIKELY ENHANCEMENT OF BASE POLICY PREMIUM BY 30%.PLS KEEP SUFFICIENT BALANCE IN YOUR POLICY LINKED ACCOUNT
331980,TM-INFYIT,"LateStay  Emp NO : 781553    Emp Name :Priyanka Senthamarai Kannan  Date :14/05/2018  Req No : MCity3665628From InfosysIT
HP-045678,Amazon: Countdown Deals 8PM - Midnight. 10% extra cashback with ICICI Bank Cards and Amazon Pay. Only on the Amazon App. Download now http://amzn.in/iSyKTn3"
436786,AM-SBIPSG,"INR 1,349.00 credited to your A/c No XXXXXXX2366 on 13/10/17 through NEFT with UTR N286170054240862 by ANI TECHNOLOGIES PRIVATE LIMITED"
26422,VK-GSKPHC,"Dear Pharmacist, Welcome to the GSKCH family. We are delighted to have connected with you. This platform will act as your direct connect with the organization."
780360,IM-SLEKHA,"Enquiry on Sulekha:Hasan is looking for Open school distance education in KolkataGrade: XIICustomer Mobile number: +919051421826For more details, click here: https://sh.sulekha.com/gG2T6Dh"
673221,MM-GOVTAP,NavaNiramana Deeksha OTP:75777
783260,VKMTMAHL,Moti Mahal Delux Chattarpur wishes you a Very Happy New Year 2018.Show this msg today and get 10 %** Discount 8010404048 / 49.Offer valid on Dine-in only.
161157,ID-IDEA,"Call_CHRG:0.00 INR,Call_Durn:80 secs,Bal_Left=32.71 INRMUFT MCI Pack Registration-Dial *777*20#. Apko Missed Call wale din Sirf Rs2 shulk lagu"
177376,ID-CMCMCM,"[Live.me] ""233423"" is your confirmation code"
762885,VK-HDFCBN,"Dear Customer, Discover convenience of automatic rental payment via SmartPay with HDFC Bank Credit Card & get 5% CashBack. bit.ly/2GZOXko *T&C"
180271,AD-URCLAP,"Hi, Nandan needs Home Construction and Renovation in Whitefield, Bengaluru, Karnataka, India. Reply at - http://ubcp.in/5vTAQTo opt out, give a missed call at 08039591551 -Team UrbanClap"
